"name","x","y","endX","endY","area","identifier","pos"
"Gelson Martins","64.68","10.166","65.835","14.892","1223.93523","0","FWR"
"Houssem Aouar","62.37","48.348","64.575","46.308","1079.00394","0","MC"
"Thiago Mendes","52.395","28.628","57.855","28.084","970.81152","0","Sub"
"Lucas Tousart","47.985","37.536","50.61","36.04","1049.72994","0","MC"
"Memphis Depay","69.405","43.656","72.45","39.984","1299.58353","0","FW"
"Ruben Aguilar","56.385","6.46","57.8025","13.26","743.80236","0","DR"
"Bertrand Traoré","69.615","10.812","70.56","17.952","971.16852","0","FWR"
"Joachim Andersen","35.07","24.208","40.8975","32.844","771.2628","0","Sub"
"Youssouf Kone","45.675","62.56","49.245","54.808","421.83477","1","DL"
"Jemerson","43.155","13.124","48.93","18.02","759.39612","0","DC"
"Léo Dubois","50.295","6.596","56.805","15.368","1541.32251","0","DMR"
"Anthony Lopes","8.505","34.068","25.2","34.068","170.83878","0","GK"
"Jason Denayer","35.7","45.152","42.7875","41.82","636.22041","0","DC"
"Moussa Dembele","69.09","38.148","71.085","37.944","1523.8902","0","Sub"
"Gabriel Boschilia","66.885","23.528","68.775","26.044","999.96771","0","Sub"
"Adama Noss Traoré","63.105","27.574","65.205","31.79","1035.99615","0","FWR"
"Jean Lucas","49.455","25.568","50.925","24.752","1018.87443","0","MC"
"Maxwel Cornet","63.315","58.684","65.4675","50.864","1558.74768","0","DML"
"Kenny Tete","55.125","6.664","58.5375","12.376","990.4251","0","Sub"
"Wylan Cyprien","49.665","33.116","54.81","32.368","935.21148","0","MC"
"Patrick Burner","43.2075","7.038","46.095","12.818","904.32027","0","DR"
"Dante","34.335","37.264","42","35.7","758.04666","0","DC"
"Christophe Herelle","40.74","15.062","45.36","19.448","634.82097","0","DR"
"Jordan Lefort","35.595","52.7","45.465","47.396","1079.78934","0","DC"
"Ignatius Ganago","66.78","24.208","66.885","27.268","1926.77898","0","Sub"
"Adrien Tameze","55.65","24.888","57.33","27.88","1241.41395","0","Sub"
"Haitam Aleesami","46.095","60.996","56.385","55.42","704.3253","1","DL"
"Juan Ferney Otero","66.2025","11.458","67.5675","15.674","1255.45476","0","AMR"
"Christophe Jallet","47.9325","9.928","58.5375","18.7","1583.65557","0","DR"
"Alexis Blin","45.99","39.916","49.14","41.616","1085.46207","0","DMC"
"Serhou Guirassy","64.68","39.712","65.415","37.74","1259.99937","0","FW"
"Malang Sarr","38.745","49.776","44.94","47.396","747.5223","0","DC"
"Prince","34.02","25.772","45.15","28.22","309.48687","0","DC"
"Thomas Monconduit","54.39","37.332","61.5825","38.658","1103.19426","0","DMC"
"Myziane Maolida","65.5725","55.556","66.3075","50.048","1277.54592","0","Sub"
"Eddy Gnahore","48.3","37.944","49.665","36.856","1136.08824","0","Sub"
"Régis Gurtner","8.4","33.932","38.325","36.856","161.31045","0","GK"
"Chadrac Akolo","61.005","48.416","60.69","44.506","1560.87897","0","Sub"
"Saman Ghoddos","64.68","22.712","65.625","27.472","1096.85751","0","Sub"
"Bongani Zungu","47.04","34.068","54.2325","33.66","909.94659","0","Sub"
"Renaud Ripart","62.16","38.658","66.36","38.488","1784.55375","1","DL"
"Anthony Briancon","33.705","21.284","40.635","27.812","679.84224","0","DC"
"Pablo Martinez","35.07","47.396","44.205","44.744","600.25623","0","DC"
"Thilo Kehrer","46.2","12.172","47.04","18.224","876.81699","0","DR"
"Abdou Diallo","43.68","48.212","50.61","44.88","801.65421","1","DL"
"Thiago Silva","41.055","25.84","48.405","31.688","813.53517","0","DC"
"Julian Draxler","59.43","41.752","59.0625","38.964","1109.63454","0","Sub"
"Marquinhos","44.94","29.24","48.09","34.646","889.0728","0","MC"
"Juan Bernat","56.28","61.812","55.125","56.066","589.00716","1","DL"
"Kylian Mbappé","76.65","49.164","78.015","45.288","1109.11332","0","FWL"
"Zinedine Ferhat","71.295","9.928","76.755","15.912","1432.68384","0","AMR"
"Gaetan Paquiez","45.465","10.812","57.855","16.32","2026.52835","0","DR"
"Sofiane Alakouch","50.925","6.256","57.645","11.424","754.39098","0","DR"
"Antonin Bobichon","62.0025","41.582","66.5175","38.828","1359.93795","0","ML"
"Theo Valls","55.755","40.936","59.535","38.352","1276.20717","0","DMC"
"Marco Verratti","55.86","44.88","57.75","44.064","853.52631","0","Sub"
"Pablo Sarabia","68.88","28.424","70.56","32.3","1612.15488","0","Sub"
"Florian Miguel","49.035","62.832","60.3225","58.412","876.0066","0","Sub"
"Edinson Cavani","73.29","35.53","73.5","37.638","1498.329","0","FW"
"Romain Philippoteaux","67.305","60.044","69.72","55.08","900.22191","0","AML"
"Paul Bernardoni","10.5","34.408","38.325","31.892","202.33689","0","GK"
"Ángel Di María","71.505","22.984","74.865","31.144","1379.03745","0","FWR"
"Haris Duljevic","68.9325","33.558","71.3475","33.354","1156.79424","0","Sub"
"Thomas Meunier","57.3825","5.032","55.965","13.396","785.47854","0","DMR"
"Leandro Paredes","50.085","38.352","55.545","35.496","809.69385","0","MC"
"Habib Diallo","67.515","37.706","69.7725","36.142","1357.40682","0","FW"
"Habib Maïga","48.3","21.284","53.97","23.324","1010.2743","0","MC"
"Thomas Delaine","56.91","62.628","61.005","58.684","579.48597","1","DL"
"Mamadou Fofana","36.54","41.99","43.26","38.862","802.61454","0","MC"
"Alexandre Oukidja","10.185","33.116","54.6","35.7","196.08582","0","GK"
"Alexander Djiku","37.065","46.24","44.31","42.296","912.69192","0","DC"
"Opa Nguette","66.465","48.62","66.15","46.92","1746.95808","0","Sub"
"Renaud Cohade","56.805","46.308","58.8525","43.486","1221.24345","0","MC"
"Kevin N'Doram","46.83","34.816","49.98","36.312","910.43925","0","MC"
"Kenny Lala","55.44","7.208","58.8","18.088","1578.37911","0","DR"
"Youssouf Fofana","54.495","31.314","57.9075","32.572","1212.15066","0","MC"
"Jonas Martin","48.615","37.536","50.4","34.816","978.86544","0","MC"
